Name,Category,Symptom,Type,Prevalence,,Categories:,
,,Dental issues (tooth deformities),,40%,,,
,,"Eye abnormalities (includes epicanthic folds, downslanting palpebral fissures, almond shaped eyes, short palprebal fissures,)",,40%,,,
,,Facial dysmorphia (includes lip abnormal),,60%,,,
,,Gracile bones,,10%,,,
,,"Hand and Foot abnormalities (arachnotidactyly fingers, curled fingers, Navicular bone drop, Calcaneal adduction)",,35%,,,
,,Hip dysplasia,,35%,,,
,,Joint laxity,,15%,,,
,,Kyphosis,,4%,,,
,,Lordosis,,4%,,,
,,Orthotics,,10%,,,
,,Osteopenia,,10%,,,
,,Osteoporosis,,10%,,,
,,"Scoliosis (Increased curve in spine, excessive lumbar curve)",,33%,,,
,,Stiffness,,25%,,,
,,Torticolis,,25%,,,
,,Microcephaly,,30%,https://ng.neurology.org/content/nng/7/1/e551.full.pdf,,
,Gastrointestinal,Constipation,,50%,,,
,,Drooling,,20%,,,
,,Incontinence,,15%,,,
,,"Leaky gut, unable to absorb nutrients",,10%,,,
,,Reflux,,28%,,,
,,Toilet-training delayed (but some are succesful),,50%,,,
,,Tube fed (a few patients),,13%,,,
,,Underweight,,40%,,,
,Skin,Hypopigmented?,,10%,,,
,,"Mottled skin (Lacy pattern on the skin, circulation issues, white circles)",,10%,,,
,,"Raynaud's syndrome, chillblains",,10%,,,
,,Sensitivity to heat and sun increased,,30%,,,
,,"Sweating, absence",,30%,,,
,,Temperature regulation poor,,30%,,,
,Visual,Cortical Visual Impairment (incliudes suspected but not proven),,33%,,,
,,Light sensitivity increased,,30%,,,
,,"Strabismus (abnormal eye movements, tracking difficulties)",,54%,,,
,,"Visual impairment, nearsightedness",,30%,,,
,,Visual-spatial issues (included depth perception),,40%,,,
,Emotional,Anxiety/ panic attacks,,69%,,,
,,Fear (increased),,50%,,,
,,Frustration,,40%,,,
,,Happy demeanor,,30%,,,
,,Irritability,,40%,,,
,,"Moody, Emotional dysregulation",,50%,,,
,,Neuropsychiatric issues (Bipolar disorder),,70%,,,
,,Physical contact seeking,,45%,,,
,,Sensory Processing Issues,,33%,,,
